Old Ref ID;Ref ID;Record Last Updated (dd/mm/yyyy);Operator (or Applicant);Site Name;Technology Type;Storage Type;Storage Co-location REPD Ref ID;Installed Capacity (MWelec);Share Community Scheme;CHP Enabled;CfD Allocation Round;RO Banding (ROC/MWh);FiT Tariff (p/kWh);CfD Capacity (MW);Turbine Capacity (MW);No. of Turbines;Height of Turbines (m);Mounting Type for Solar;Development Status;Development Status (short);Are they re-applying (New REPD Ref);Are they re-applying (Old REPD Ref) ;Address;County;Region;Country;Post Code;X-coordinate;Y-coordinate;Planning Authority;Planning Application Reference;Appeal Reference;Secretary of State Reference;Type of Secretary of State Intervention;Judicial Review;Offshore Wind Round;Planning Application Submitted;Planning Application Withdrawn;Planning Permission Refused;Appeal Lodged;Appeal Withdrawn;Appeal Refused;Appeal Granted;Planning Permission Granted;Secretary of State - Intervened;Secretary of State - Refusal;Secretary of State - Granted;Planning Permission Expired;Under Construction;Operational;Heat Network Ref;Solar Site Area (sqm)
;14491;10.04.2024;TotalEnergies;Culzean Floating Wind Pilot;Wind Offshore;;;3,00;;;;;;;3,00;1;134,00;;Planning Application Submitted;Application Submitted;;;INTOG 12, North East Coast off Scotland;Offshore;Offshore;Scotland;;634310;817848;Marine Scotland;;;;;;;22.02.2024;;;;;;;;;;;;;;;
B0258;2528;08.11.2018;Catapult;Levenmouth demonstration turbine (Fife Energy Park);Wind Offshore;;;7,00;;;;;;;6,00;1;;;Operational;Operational;;;Fife Energy Park (Test Site) off the coast of Methil in Fife;Offshore;Offshore;Scotland;;340600;696860;Scottish Government (S36);;;;;;03.01.1900;02.12.2009;;;;;;;18.11.2011;;;;;08.10.2013;31.03.2014;;
EN00028;2485;31.05.2017;Talisman Energy;Beatrice Demonstrator;Wind Offshore;;;10,00;;;;;;;5,00;2;;;Operational;Operational;;;Beatrice Offshore Platform;Offshore;Offshore;Scotland;;347955;929690;Scottish Government (S36);;;;;;;23.01.2006;;;;;;;15.06.2006;;;;;01.09.2006;17.07.2007;;
;6264;06.12.2019;Hexicon AB/ Dounreay Tri;Dounreay Trì Floating Wind Demonstration;Wind Offshore;;;10,00;;;;;;;5,00;2;201,00;;Under Construction;Under Construction;;;Development Site 9KM NW Of, Dounreay, Nuclear Research Establishment, Thurso;Offshore;Offshore;Scotland;KW14 7TY;291337;980477;Marine Scotland;16/04775/S36;;;;;;17.10.2016;;;;;;;16.03.2017;;;;;31.03.2017;;;
A0438;2488;20.11.2017;Orsted (formerly Dong Energy);Gunfleet Sands - (Demo) Extension;Wind Offshore;;;12,00;;;;;;;6,00;2;;;Operational;Operational;;;off the Essex coast;Offshore;Offshore;England;;620650;205297;DECC (S36);;;;;;Demo;;;;;;;;17.04.2012;;;;;15.05.2012;19.04.2013;;
;14484;02.08.2023;Cierco;Forthwind;Wind Offshore;;;20,00;;;;;;12,00;20,00;1;280,00;;Planning Permission Granted;Awaiting Construction;;5863;Forth of Firth;Offshore;Offshore;Scotland;;338141;696278;Marine Scotland;MS-00009834;;;;;;29.04.2022;;;;;;;15.03.2023;;;;31.10.2049;;;;
B0997;2479;04.07.2018;Statoil;Hywind Scotland Pilot Park (Hywind 2) Demonstrator;Wind Offshore;;;30,00;;;;;;;6,00;5;;;Operational;Operational;;;Buchan Deeps, 20km off Peterhead;Offshore;Offshore;Scotland;;433500;846500;Marine Scotland;;;;;;Demo;27.03.2015;;;;;;;30.10.2015;;;;;27.04.2017;27.10.2017;;
;6810;13.12.2021;Hexicon;TwinHub (previously called Wave Hub Floating Wind);Wind Offshore;;;32,00;;No;AR4;;;32,00;;4;220,00;;Planning Permission Granted;Awaiting Construction;;;Wave Hub 16km North Of, St Ives Head, Hayle;Offshore;Offshore;England;TR27 4DD;155246;38189;The Planning Inspectorate - National Infrastructure;PA18/10363;;;;;;31.10.2018;;;;;;;12.01.2022;;;;;;;;
A0439;2523;04.07.2018;EDF Energy Renewables;Blyth Offshore Wind Test Site;Wind Offshore;;;41,50;;;;;;;8,30;5;;;Operational;Operational;;;between 1.8km and 13.8km off the east coast of Blyth in Northumberland;Offshore;Offshore;England;;440591;586033;Marine Scotland;;;;;;Demo;01.03.2012;;;;;;;08.11.2013;;;;;22.10.2016;22.10.2017;;
A0371;2504;28.06.2016;Vattenfall;Kentish Flats 2;Wind Offshore;;;49,50;;;;;;;3,30;15;;;Operational;Operational;;;Kentish Flats Offshore extension;Offshore;Offshore;England;;614105;176834;The Planning Inspectorate - National Infrastructure;EN010036;;;;;02.01.1900;01.06.2012;;;;;;;19.02.2013;;;;;26.11.2014;14.09.2015;;
